V/atom,BCC_a,BCC_E,Delta_BCC_E,FCC_a,FCC_E,Delta_FCC_E,A15_a,A15_E,Delta_A15_E
12.0,2.8844991406148166,-7.572225658281722,2.513570227741104,3.634241185664279,-7.438805778615148,2.646990107407678,4.5788569702133275,-7.289074048844666,2.7967218371781595
12.1,2.8924894837622244,-7.706881172923842,2.3789147130989843,3.6443083871915816,-7.578498186757701,2.5072976992651252,4.59154084933111,-7.4278776245753635,2.6579182614474623
12.2,2.9004359233715116,-7.83142943016034,2.2543664558624856,3.654320273727041,-7.708515042059337,2.377280843963489,4.6041550359262935,-7.557920555665024,2.5278753303578014
12.3,2.9083390575954486,-7.9472613110303385,2.1385345749924873,3.6642775988959237,-7.829172819309946,2.25662306671288,4.616700479507217,-7.67992661109939,2.405869274923436
12.4,2.916199471653423,-8.055697121539119,2.030098764483707,3.674181100028455,-7.941291761266789,2.144504124756037,4.629178109051751,-7.794767271501215,2.291028614521611
12.5,2.924017738212866,-8.157865625954496,1.9279302600683295,3.6840314986403864,-8.045892769168098,2.0399031168547275,4.641588833612778,-7.903284087604691,2.182511798418135
12.6,2.931794417756475,-8.25467546573823,1.831120420284595,3.6938295008956663,-8.143996303170207,1.941799582852619,4.6539335429011235,-8.006211967545044,2.0795839184777822
12.7,2.9395300589358744,-8.346831120935796,1.7389647650870295,3.703575798052025,-8.23651426653516,1.849281619487666,4.66621310784695,-8.1041595574107,1.981636328612126
12.8,2.9472251989123093,-8.434865794502594,1.650930091520232,3.713271066890223,-8.324207819668864,1.761588066353962,4.678428381140585,-8.197617051155921,1.8881788348669044
12.9,2.9548803636849534,-8.519177241268114,1.566618644754712,3.722915970127691,-8.407684452896625,1.678111433126201,4.690580197753671,-8.286974456602742,1.7988214294200837
13.0,2.9624960684073702,-8.600060359640956,1.4857355263818697,3.7325111568172478,-8.487414631594344,1.5983812544284817,4.7026693754415145,-8.372541746517118,1.7132541395057075
13.1,2.970072817692642,-8.677734389099859,1.4080614969229668,3.742057262731538,-8.563755687079768,1.522040198943058,4.714696715227454,-8.454567128474537,1.631228757548289
13.2,2.9776111059076547,-8.7523644654091,1.333431420613726,3.7515549107338066,-8.636976197494102,1.4488196885287241,4.726663001870005,-8.533252159206826,1.5525437268159994
13.3,2.9851114174570075,-8.824078096469771,1.261717789553055,3.7610047111356057,-8.707277689798925,1.3785181962239008,4.738569004313536,-8.608763608512707,1.4770322775101192
13.4,2.9925742270569824,-8.8929773929358,1.1928184930870263,3.7704072620419717,-8.774812557461892,1.3109833285609334,4.750415476123175,-8.681242466311343,1.4045534197114833
13.5,3.0,-8.959147907784594,1.126647978238232,3.7797631496846193,-8.839698155449447,1.2460977305733785,4.762203155904598,-8.750810632581704,1.334985253441122
13.6,3.007389192409949,-9.022664860629579,1.0631310253932469,3.789072948743638,-8.902027511717428,1.183768374305398,4.773932767709347,-8.817575818499073,1.2682200675237532
13.7,3.014742251488785,-9.083597461400464,1.002198424622362,3.7983372226581835,-8.961877251417985,1.1239186346048413,4.785605021426275,-8.881635112382424,1.2041607736404014
13.8,3.022059615754738,-9.14201176011074,0.9437841259120852,3.807556523926606,-9.019313433299168,1.0664824527236583,4.797220613159683,-8.943077572483896,1.1427183135389303
13.9,3.029341715272494,-9.197972356754391,0.8878235292684344,3.8167313943964567,-9.074395993769153,1.0113998922536727,4.808780225594707,-9.001986121626441,1.0838097643963849
14.0,3.0365889718756622,-9.251543366860457,0.8342525191623693,3.825862365544778,-9.127181621904736,0.9586142641180899,4.820284528350459,-9.05843894486546,1.0273569411573664
14.1,3.043801799381843,-9.302788887297519,0.7830069987253072,3.834949958749076,-9.177725530179337,0.9080703558434884,4.831734178321436,-9.112510532921677,0.9732853531011489
14.2,3.050980603800597,-9.35177313607553,0.7340227499472967,3.8439946855493425,-9.226082573315598,0.8597133127072283,4.84312982000764,-9.16427247023157,0.9215234157912562
