V/atom,BCC_a,BCC_E,Delta_BCC_E,FCC_a,FCC_E,Delta_FCC_E,A15_a,A15_E,Delta_A15_E
12.0,2.8844991406148166,-7.513404384070388,2.552118077066921,3.634241185664279,-7.339731154880582,2.7257913062567276,4.578856970213327,-7.377005952848087,2.688516508289222
12.1,2.892489483762225,-7.631246493177831,2.4342759679594783,3.6443083871915816,-7.461143427755558,2.6043790333817514,4.591540849331109,-7.495447241979166,2.5700752191581433
12.2,2.900435923371512,-7.745301027400073,2.3202214337372364,3.654320273727041,-7.578199912582333,2.4873225485549764,4.6041550359262935,-7.609966981241049,2.45555547989626
12.3,2.908339057595449,-7.8557356179559035,2.209786843181406,3.6642775988959237,-7.6911642044357675,2.3743582567015418,4.616700479507217,-7.720818782629339,2.3447036785079707
12.4,2.916199471653423,-7.962669858545705,2.1028526025916046,3.674181100028455,-7.800243615493419,2.2652788456438904,4.629178109051751,-7.828197786229417,2.2373246749078923
12.5,2.924017738212866,-8.066182616196404,1.9993398449409057,3.6840314986403864,-7.905593136077469,2.1599293250598404,4.641588833612778,-7.932245486641872,2.1332769744954376
12.6,2.931794417756475,-8.16632083938692,1.8992016217503895,3.6938295008956663,-8.007323010498371,2.058199450638938,4.6539335429011235,-8.03305731089576,2.032465150241549
12.7,2.939530058935875,-8.263108820118632,1.8024136410186777,3.703575798052025,-8.105508398225973,1.9600140629113358,4.66621310784695,-8.13069184450524,1.9348306166320697
12.8,2.9472251989123093,-8.356557036478168,1.7089654246591408,3.713271066890223,-8.20019966493496,1.8653227962023493,4.678428381140585,-8.225180638902547,1.8403418222347625
12.9,2.9548803636849534,-8.446669944211294,1.6188525169260153,3.7229159701276906,-8.291432124467523,1.7740903366697864,4.69058019775367,-8.316537692470773,1.7489847686665367
13.0,2.9624960684073702,-8.53345234460878,1.53207011652853,3.7325111568172478,-8.379234428440414,1.6862880326968952,4.7026693754415145,-8.404767929098167,1.6607545320391424
13.1,2.970072817692642,-8.616914189066328,1.448608272070981,3.742057262731538,-8.463635181739898,1.6018872793974115,4.714696715227454,-8.489874252750482,1.575648208386827
13.2,2.9776111059076547,-8.697073862856948,1.3684485982803611,3.7515549107338066,-8.544667684721787,1.520854776415522,4.726663001870004,-8.571862993393053,1.4936594677442567
13.3,2.9851114174570075,-8.773960113267977,1.2915623478693323,3.7610047111356057,-8.622372934976564,1.4431495261607452,4.738569004313536,-8.650747752177896,1.4147747089594134
